shipping_id,shipping_country_id,shipping_pref,order_id,delivery_id,time_id,fee_id,shipping_name01,shipping_name02,shipping_kana01,shipping_kana02,shipping_company_name,shipping_tel01,shipping_tel02,shipping_tel03,shipping_fax01,shipping_fax02,shipping_fax03,shipping_zip01,shipping_zip02,shipping_zipcode,shipping_addr01,shipping_addr02,shipping_delivery_name,shipping_delivery_time,shipping_delivery_date,shipping_delivery_fee,shipping_commit_date,rank,create_date,update_date,del_flg
76,,13,76,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 18:52:44","2017-05-23 18:53:15",0
77,,13,77,1,,13,テスト津田1,テスト津田1,テストツダ,テストツダ,テスト会社,042,341,7768,,,,187,0035,1870035,小平市小川西町5-18-8,アパート,佐川急便,,,0,,,"2017-05-23 18:53:51","2017-05-23 18:54:04",0
78,,1,78,1,,1,a,a,ア,ア,,00,0000,0000,,,,000,0000,0000000,あ,あ,佐川急便,,,0,,,"2017-05-23 18:54:30","2017-05-23 18:55:29",0
79,,13,79,1,,13,テスト津田2,テスト津田2,テストツダ,テストツダ,テストカイシャメイ,111,222,3333,,,,182,0036,1820036,調布市飛田給,味の素スタジアム,佐川急便,,,0,,,"2017-05-23 18:55:21","2017-05-23 18:55:25",0
80,,13,80,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 18:55:37","2017-05-23 18:55:43",0
81,,13,81,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 18:57:46","2017-05-23 18:57:54",0
82,,13,82,1,,13,テスト津田2,テスト津田2,テストツダ,テストツダ,テストカイシャメイ,111,222,3333,,,,182,0036,1820036,調布市飛田給,味の素スタジアム,佐川急便,,,0,,,"2017-05-23 18:59:38","2017-05-23 18:59:55",0
83,,13,83,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 19:01:15","2017-05-23 19:01:15",0
84,,1,84,1,,1,a,a,ア,ア,,00,0000,0000,,,,000,0000,0000000,あ,あ,佐川急便,,,0,,,"2017-05-23 19:01:50","2017-05-23 19:03:30",0
85,,13,85,1,,13,テスト津田1,テスト津田1,テストツダ,テストツダ,テスト会社,042,341,7768,,,,187,0035,1870035,小平市小川西町5-18-8,アパート,佐川急便,,,0,,,"2017-05-23 19:04:15","2017-05-23 19:04:22",0
86,,13,86,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 19:04:22","2017-05-23 19:04:28",0
87,,13,87,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 19:06:02","2017-05-23 19:06:02",0
88,,13,88,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 19:06:18","2017-05-23 19:06:23",0
89,,13,89,1,,13,テスト津田1,テスト津田1,テストツダ,テストツダ,テスト会社,042,341,7768,,,,187,0035,1870035,小平市小川西町5-18-8,アパート,佐川急便,,,0,,,"2017-05-23 19:07:19","2017-05-23 19:07:36",0
90,,1,90,1,,1,a,a,ア,ア,,00,0000,0000,,,,000,0000,0000000,あ,あ,佐川急便,,,0,,,"2017-05-23 19:11:11","2017-05-23 19:11:57",0
91,,13,91,1,,13,テスト津田2,テスト津田2,テストツダ,テストツダ,テストカイシャメイ,111,222,3333,,,,182,0036,1820036,調布市飛田給,味の素スタジアム,佐川急便,,,0,,,"2017-05-23 19:11:15","2017-05-23 19:16:18",0
92,,13,92,1,,13,テスト津田1,テスト津田1,テストツダ,テストツダ,テスト会社,042,341,7768,,,,187,0035,1870035,小平市小川西町5-18-8,アパート,佐川急便,,,0,,,"2017-05-23 19:12:52","2017-05-23 19:12:58",0
93,,13,93,1,,13,上津原,剛,ウエツハラ,ゴウ,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 19:16:14","2017-05-23 19:16:27",0
94,,13,94,1,,13,テスト津田1,テスト津田1,テストツダ,テストツダ,テスト会社,042,341,7768,,,,187,0035,1870035,小平市小川西町5-18-8,アパート,佐川急便,,,0,,,"2017-05-23 19:16:33","2017-05-23 19:16:45",0
95,,13,95,1,,13,上津原,剛,ウエツハラ,ゴウ,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 19:17:41","2017-05-23 19:17:49",0
96,,1,96,1,,1,a,a,ア,ア,,00,0000,0000,,,,000,0000,0000000,あ,あ,佐川急便,,,0,,,"2017-05-23 19:18:12","2017-05-23 19:18:54",0
97,,13,97,1,,13,テスト津田2,テスト津田2,テストツダ,テストツダ,テストカイシャメイ,111,222,3333,,,,182,0036,1820036,調布市飛田給,味の素スタジアム,佐川急便,,,0,,,"2017-05-23 19:18:40","2017-05-23 19:18:50",0
98,,13,98,1,,13,テスト津田1,テスト津田1,テストツダ,テストツダ,テスト会社,042,341,7768,,,,187,0035,1870035,小平市小川西町5-18-8,アパート,佐川急便,,,0,,,"2017-05-23 19:24:02","2017-05-23 19:24:08",0
99,,1,99,1,,1,a,a,ア,ア,,00,0000,0000,,,,000,0000,0000000,あ,あ,佐川急便,,,0,,,"2017-05-23 19:24:47","2017-05-23 19:28:27",0
100,,13,100,1,,13,上津原,剛,ウエツハラ,ゴウ,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 19:24:50","2017-05-23 19:25:38",0
101,,13,101,1,,13,上津原,剛,ウエツハラ,ゴウ,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 19:28:31","2017-05-23 19:29:18",0
102,,13,102,1,,13,テスト津田2,テスト津田2,テストツダ,テストツダ,テストカイシャメイ,111,222,3333,,,,182,0036,1820036,調布市飛田給,味の素スタジアム,佐川急便,,,0,,,"2017-05-23 19:29:56","2017-05-23 19:30:02",0
103,,13,103,1,,13,上津原,剛,ウエツハラ,ゴウ,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 19:30:11","2017-05-23 19:30:20",0
104,,13,104,1,,13,上津原,剛,ウエツハラ,ゴウ,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 19:31:22","2017-05-23 19:31:28",0
105,,13,105,1,,13,テスト津田1,テスト津田1,テストツダ,テストツダ,テスト会社,042,341,7768,,,,187,0035,1870035,小平市小川西町5-18-8,アパート,佐川急便,,,0,,,"2017-05-23 19:32:52","2017-05-23 19:33:00",0
106,,13,106,1,,13,上津原,剛,ウエツハラ,ゴウ,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 19:33:03","2017-05-23 19:33:08",0
107,,1,107,1,,1,a,a,ア,ア,,00,0000,0000,,,,000,0000,0000000,あ,あ,佐川急便,,,0,,,"2017-05-23 19:34:16","2017-05-23 19:34:16",0
108,,1,108,1,,1,a,a,ア,ア,,00,0000,0000,,,,000,0000,0000000,あ,あ,佐川急便,,,0,,,"2017-05-23 19:34:37","2017-05-23 19:35:11",0
109,,13,109,1,,13,上津原,剛,ウエツハラ,ゴウ,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 19:34:59","2017-05-23 19:34:59",0
110,,13,110,1,,13,上津原,剛,ウエツハラ,ゴウ,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 19:35:40","2017-05-23 19:36:53",0
111,,13,111,1,,13,テスト津田2,テスト津田2,テストツダ,テストツダ,テストカイシャメイ,111,222,3333,,,,182,0036,1820036,調布市飛田給,味の素スタジアム,佐川急便,,,0,,,"2017-05-23 19:36:57","2017-05-23 19:37:02",0
112,,1,112,1,,1,a,a,ア,ア,,00,0000,0000,,,,000,0000,0000000,あ,あ,佐川急便,,,0,,,"2017-05-23 19:41:16","2017-05-23 19:41:16",0
113,,13,113,1,,13,あああああああ,あかさ,アカサ,アカサ,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 19:43:02","2017-05-23 19:43:31",0
114,,1,114,1,,1,a,a,ア,ア,,00,0000,0000,,,,000,0000,0000000,あ,あ,佐川急便,,,0,,,"2017-05-23 19:43:56","2017-05-23 19:44:14",0
115,,13,115,1,,13,テストつだ,テストつた,ツダ,タカシ,てすと,099,888,7777,,,,187,0035,1870035,小平市小川西町,てすと,佐川急便,,,0,,,"2017-05-23 19:44:08","2017-05-23 19:44:27",0
116,,13,116,1,,13,あああああああ,あかさ,アカサ,アカサ,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 19:44:27","2017-05-23 19:44:27",0
117,,13,117,1,,13,あああああああ,あかさ,アカサ,アカサ,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 19:51:01","2017-05-23 19:51:18",0
118,,1,118,1,,1,a,a,ア,ア,,00,0000,0000,,,,000,0000,0000000,あ,あ,佐川急便,,,0,,,"2017-05-23 19:51:04","2017-05-23 19:51:32",0
119,,13,119,1,,13,あああああああ,あかさ,アカサ,アカサ,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 19:53:26","2017-05-23 19:53:26",0
120,,13,120,1,,13,テストつだ,テストつた,ツダ,タカシ,てすと,099,888,7777,,,,187,0035,1870035,小平市小川西町,てすと,佐川急便,,,0,,,"2017-05-23 19:54:39","2017-05-23 19:54:46",0
121,,13,121,1,,13,あああああああ,あかさ,アカサ,アカサ,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 19:56:22","2017-05-23 19:56:49",0
122,,1,122,1,,1,a,a,ア,ア,,00,0000,0000,,,,000,0000,0000000,あ,あ,佐川急便,,,0,,,"2017-05-23 19:57:28","2017-05-23 20:00:10",0
123,,13,123,1,,13,テストつだ,テストつた,ツダ,タカシ,てすと,099,888,7777,,,,187,0035,1870035,小平市小川西町,てすと,佐川急便,,,0,,,"2017-05-23 19:57:40","2017-05-23 19:57:47",0
124,,13,124,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-24 18:20:47","2017-05-24 18:21:38",0
